,name,team,innings,ballsfaced,batting_sr,batting_avg,PaPP0,PaPPW,PaPP6,PaPP4,PaPP1,PaPPE,PaPP2,PaPP3,PaPP5,PaMO0,PaMOW,PaMO6,PaMO4,PaMO1,PaMOE,PaMO2,PaMO3,PaMO5,PaDO0,PaDOW,PaDO6,PaDO4,PaDO1,PaDOE,PaDO2,PaDO3,PaDO5,SpPP0,SpPPW,SpPP6,SpPP4,SpPP1,SpPPE,SpPP2,SpPP3,SpPP5,SpMO0,SpMOW,SpMO6,SpMO4,SpMO1,SpMOE,SpMO2,SpMO3,SpMO5,SpDO0,SpDOW,SpDO6,SpDO4,SpDO1,SpDOE,SpDO2,SpDO3,SpDO5,type
114,DT Tiripano,Zimbabwe,7,72,90.28,16.25,411 - 516,-,-,-,521 - 666,-,-,-,-,411 - 526,531 - 534,-,535 - 552,553 - 651,652 - 662,663 - 666,-,-,411 - 514,-,-,-,515 - 644,-,645 - 666,-,-,411 - 516,-,-,-,521 - 666,-,-,-,-,411 - 522,523 - 534,-,535 - 545,546 - 643,644 - 655,656 - 666,-,-,411 - 434,435 - 513,514 - 552,-,553 - 666,-,-,-,-,
115,Danish Aziz,Pakistan,2,35,102.86,18.0,-,411 - 436,-,-,441 - 566,611 - 636,641 - 666,-,-,-,411 - 436,-,-,441 - 566,611 - 636,641 - 666,-,-,411 - 555,556 - 566,-,611 - 621,622 - 643,644 - 655,656 - 666,-,-,411 - 435,-,436 - 444,-,445 - 634,635 - 652,653 - 666,-,-,411 - 435,-,436 - 444,-,445 - 634,635 - 652,653 - 666,-,-,411 - 555,556 - 566,-,611 - 621,622 - 643,644 - 655,656 - 666,-,-,
116,Darwish Rasooli,Afghanistan,4,43,79.07,11.33,411 - 516,521 - 535,-,536 - 613,614 - 632,633 - 651,-,652 - 666,-,411 - 661,-,-,-,662 - 666,-,-,-,-,-,411 - 444,-,-,445 - 632,633 - 666,-,-,-,411 - 654,655 - 662,-,-,-,-,663 - 666,-,-,411 - 542,-,-,-,543 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Batter
117,E Lewis,West Indies,20,341,151.32,25.8,411 - 446,451 - 456,461 - 516,521 - 556,561 - 641,642 - 662,663 - 666,-,-,411 - 534,535 - 544,545 - 563,564 - 565,566 - 651,652 - 662,663 - 666,-,-,411 - 534,535 - 544,545 - 563,564 - 565,566 - 651,652 - 662,663 - 666,-,-,411 - 562,563 - 566,611 - 622,623 - 633,634 - 655,656 - 662,663 - 666,-,-,411 - 451,452 - 464,465 - 526,531 - 534,535 - 653,654 - 666,-,-,-,411 - 451,452 - 464,465 - 526,531 - 534,535 - 653,654 - 666,-,-,-,Batter
118,EJG Morgan,England,13,165,108.48,16.27,411 - 654,655 - 655,-,656 - 661,662 - 663,664 - 665,666 - 666,-,-,411 - 521,522 - 524,525 - 531,532 - 541,542 - 641,642 - 656,661 - 666,-,-,411 - 461,462 - 525,526 - 541,542 - 556,561 - 634,635 - 651,652 - 666,-,-,411 - 554,-,-,-,555 - 666,-,-,-,-,411 - 513,514 - 515,516 - 521,522 - 531,532 - 662,663 - 664,665 - 666,-,-,411 - 423,424 - 455,456 - 531,532 - 563,564 - 666,-,-,-,-,
119,F Hand,Ireland,2,19,189.47,18.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 555,556 - 621,622 - 666,-,-,-,-,-,-,411 - 455,-,-,456 - 563,564 - 652,-,653 - 666,-,-,411 - 455,-,-,456 - 563,564 - 652,-,653 - 666,-,-,-,-,-,-,411 - 536,-,541 - 666,-,-,Allrounder
120,FA Allen,West Indies,12,99,155.56,19.25,411 - 563,564 - 615,-,-,616 - 666,-,-,-,-,411 - 563,564 - 615,-,-,616 - 666,-,-,-,-,411 - 446,451 - 461,462 - 532,533 - 551,552 - 651,652 - 662,663 - 666,-,-,411 - 624,625 - 632,633 - 636,-,641 - 662,663 - 664,665 - 666,-,-,411 - 624,625 - 632,633 - 636,-,641 - 662,663 - 664,665 - 666,-,-,411 - 443,444 - 463,464 - 565,-,566 - 646,-,651 - 666,-,-,
121,FH Allen,New Zealand,18,287,160.28,25.56,411 - 454,455 - 511,512 - 525,526 - 562,563 - 643,644 - 655,656 - 664,665 - 666,-,-,411 - 422,-,423 - 461,462 - 563,564 - 654,655 - 666,-,-,411 - 444,-,445 - 522,-,523 - 633,634 - 666,-,-,-,411 - 465,466 - 515,516 - 533,534 - 565,566 - 654,655 - 662,663 - 664,665 - 666,-,411 - 444,445 - 446,451 - 515,516 - 525,526 - 654,655 - 656,661 - 666,-,-,411 - 523,524 - 615,-,616 - 666,-,-,-,-,-,Batter
122,FH Edwards,West Indies,2,5,20.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,
123,FJ Klaassen,Netherlands,3,10,40.0,2.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,411 - 466,-,-,511 - 566,-,611 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,411 - 466,-,-,511 - 566,-,611 - 666,-,-,Bowler
124,Faheem Ashraf,Pakistan,8,66,134.85,14.83,411 - 453,-,454 - 464,465 - 515,516 - 634,635 - 645,646 - 666,-,-,411 - 453,-,454 - 464,465 - 515,516 - 634,635 - 645,646 - 666,-,-,411 - 411,412 - 434,435 - 451,452 - 514,515 - 646,651 - 653,654 - 666,-,-,411 - 616,-,-,-,621 - 666,-,-,-,-,411 - 616,-,-,-,621 - 666,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,
125,Fakhar Zaman,Pakistan,26,376,120.74,19.74,411 - 521,522 - 525,526 - 526,531 - 554,555 - 646,651 - 661,662 - 665,-,666 - 666,411 - 464,465 - 514,515 - 523,524 - 542,543 - 642,643 - 661,662 - 666,-,-,-,411 - 431,432 - 466,511 - 524,525 - 631,632 - 642,643 - 666,-,-,411 - 512,513 - 522,523 - 535,536 - 552,553 - 653,654 - 656,661 - 666,-,-,411 - 516,521 - 526,531 - 532,533 - 544,545 - 654,655 - 655,656 - 666,-,-,411 - 651,-,-,-,652 - 666,-,-,-,-,Batter
126,Fareed Ahmad,Afghanistan,1,5,20.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
127,GD Phillips,New Zealand,28,513,148.54,34.64,411 - 562,-,-,-,563 - 651,-,652 - 666,-,-,411 - 432,433 - 435,436 - 446,451 - 512,513 - 636,641 - 645,646 - 665,666 - 666,-,411 - 422,423 - 436,441 - 462,463 - 521,522 - 612,613 - 632,633 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 446,451 - 454,455 - 511,512 - 521,522 - 642,643 - 645,646 - 665,666 - 666,-,411 - 423,-,424 - 455,-,456 - 666,-,-,-,-,WK Batter
128,GF Linde,South Africa,9,59,118.64,8.75,411 - 444,445 - 511,512 - 525,526 - 543,544 - 661,-,662 - 666,-,-,411 - 444,445 - 511,512 - 525,526 - 543,544 - 661,-,662 - 666,-,-,411 - 425,426 - 514,-,-,515 - 651,652 - 661,662 - 666,-,-,411 - 516,-,521 - 535,536 - 545,546 - 632,633 - 642,643 - 666,-,-,411 - 516,-,521 - 535,536 - 545,546 - 632,633 - 642,643 - 666,-,-,411 - 425,426 - 514,-,-,515 - 651,652 - 661,662 - 666,-,-,
129,GH Dockrell,Ireland,23,308,136.04,27.93,411 - 451,452 - 456,461 - 465,466 - 514,515 - 621,622 - 661,662 - 666,-,-,411 - 415,416 - 424,425 - 433,434 - 464,465 - 636,641 - 652,653 - 666,-,-,411 - 512,513 - 516,521 - 526,531 - 551,552 - 643,644 - 646,651 - 666,-,-,411 - 511,-,-,-,512 - 666,-,-,-,-,411 - 455,456 - 465,466 - 515,516 - 532,533 - 644,645 - 654,655 - 666,-,-,-,-,-,411 - 461,462 - 643,644 - 666,-,-,-,Allrounder
130,GHS Garton,England,1,4,50.0,2.0,411 - 463,464 - 544,-,-,545 - 666,-,-,-,-,411 - 463,464 - 544,-,-,545 - 666,-,-,-,-,411 - 463,464 - 544,-,-,545 - 666,-,-,-,-,411 - 463,464 - 544,-,-,545 - 666,-,-,-,-,411 - 463,464 - 544,-,-,545 - 666,-,-,-,-,411 - 463,464 - 544,-,-,545 - 666,-,-,-,-,
131,GI Hume,Ireland,1,1,0.0,0.0,-,411 - 536,-,-,-,541 - 666,-,-,-,-,411 - 536,-,-,-,541 - 666,-,-,-,-,411 - 536,-,-,-,541 - 666,-,-,-,-,411 - 536,-,-,-,541 - 666,-,-,-,-,411 - 536,-,-,-,541 - 666,-,-,-,-,411 - 536,-,-,-,541 - 666,-,-,-,Bowler
132,GJ Delany,Ireland,20,193,98.96,10.61,411 - 534,535 - 551,552 - 555,556 - 621,622 - 651,652 - 653,654 - 666,-,-,411 - 546,551 - 562,-,563 - 612,613 - 654,655 - 662,663 - 666,-,-,411 - 546,-,-,-,551 - 666,-,-,-,-,411 - 414,415 - 464,-,465 - 616,-,621 - 643,644 - 666,-,-,411 - 462,463 - 516,521 - 524,525 - 533,534 - 643,644 - 645,646 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,Allrounder
133,GJ Maxwell,Australia,24,289,121.8,16.0,411 - 533,534 - 544,545 - 546,551 - 561,562 - 632,633 - 652,653 - 666,-,-,411 - 514,515 - 522,523 - 525,526 - 536,541 - 634,635 - 652,653 - 666,-,-,411 - 442,443 - 451,452 - 515,516 - 615,616 - 652,653 - 661,662 - 666,-,-,411 - 554,555 - 565,566 - 616,621 - 643,644 - 666,-,-,-,-,411 - 431,432 - 452,453 - 461,462 - 513,514 - 636,641 - 646,651 - 666,-,-,-,-,-,411 - 444,445 - 555,-,556 - 666,-,-,Allrounder
134,GJ Snyman,South Africa,1,6,33.33,2.0,411 - 616,621 - 634,-,-,635 - 666,-,-,-,-,411 - 616,621 - 634,-,-,635 - 666,-,-,-,-,411 - 616,621 - 634,-,-,635 - 666,-,-,-,-,411 - 616,621 - 634,-,-,635 - 666,-,-,-,-,411 - 616,621 - 634,-,-,635 - 666,-,-,-,-,411 - 616,621 - 634,-,-,635 - 666,-,-,-,-,
135,GT Main,Scotland,1,14,85.71,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 646,-,-,651 - 655,656 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 646,-,-,651 - 655,656 - 666,-,-,-,-,
136,Gulbadin Naib,Afghanistan,4,62,109.68,34.0,411 - 554,-,-,555 - 632,633 - 666,-,-,-,-,411 - 465,-,-,466 - 516,521 - 643,644 - 655,656 - 666,-,-,411 - 433,-,434 - 443,444 - 514,515 - 615,616 - 646,651 - 666,-,-,411 - 554,-,-,555 - 632,633 - 666,-,-,-,-,411 - 565,566 - 621,-,-,622 - 666,-,-,-,-,411 - 433,-,434 - 443,444 - 514,515 - 615,616 - 646,651 - 666,-,-,Allrounder
137,H Klaasen,South Africa,19,259,142.86,24.67,411 - 614,-,-,615 - 622,623 - 666,-,-,-,-,411 - 453,454 - 462,463 - 511,512 - 535,536 - 652,653 - 656,661 - 666,-,-,411 - 415,416 - 441,442 - 444,445 - 466,511 - 624,625 - 646,651 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 435,436 - 445,446 - 461,462 - 525,526 - 643,644 - 646,651 - 665,666 - 666,-,411 - 415,416 - 441,442 - 444,445 - 466,511 - 624,625 - 646,651 - 666,-,-,WK Batter
138,HC Brook,England,12,211,147.87,34.67,411 - 544,-,-,545 - 563,564 - 656,661 - 666,-,-,-,411 - 452,453 - 455,456 - 511,512 - 541,542 - 645,646 - 654,655 - 666,-,-,411 - 441,442 - 453,454 - 465,466 - 536,541 - 631,632 - 643,644 - 666,-,-,411 - 544,-,-,545 - 563,564 - 656,661 - 666,-,-,-,411 - 423,424 - 431,432 - 442,443 - 453,454 - 661,662 - 666,-,-,-,411 - 441,442 - 453,454 - 465,466 - 536,541 - 631,632 - 643,644 - 666,-,-,Batter
139,HE van der Dussen,South Africa,20,412,119.9,35.29,411 - 551,552 - 553,554 - 554,555 - 612,613 - 653,654 - 656,661 - 665,-,666 - 666,411 - 446,451 - 454,455 - 462,463 - 513,514 - 643,644 - 656,661 - 666,-,-,411 - 431,432 - 435,436 - 465,466 - 525,526 - 642,643 - 651,652 - 666,-,-,411 - 512,513 - 521,-,522 - 526,531 - 651,-,652 - 666,-,-,411 - 433,434 - 436,441 - 443,444 - 454,455 - 655,656 - 664,665 - 665,666 - 666,-,-,-,-,411 - 666,-,-,-,-,-,
140,HG Munsey,Scotland,14,261,117.24,21.86,411 - 532,533 - 536,541 - 544,545 - 612,613 - 643,644 - 664,665 - 665,666 - 666,-,411 - 431,432 - 436,-,-,441 - 661,662 - 666,-,-,-,411 - 426,-,-,431 - 512,513 - 624,625 - 666,-,-,-,411 - 554,555 - 562,563 - 565,566 - 631,632 - 664,-,665 - 666,-,-,411 - 425,426 - 451,452 - 464,465 - 514,515 - 651,652 - 663,664 - 666,-,-,411 - 426,-,-,431 - 512,513 - 624,625 - 666,-,-,-,Batter
141,HH Pandya,India,26,403,147.89,35.06,411 - 554,-,555 - 564,565 - 623,624 - 651,652 - 666,-,-,-,411 - 526,531 - 535,536 - 542,543 - 555,556 - 653,654 - 656,661 - 666,-,-,411 - 434,435 - 445,446 - 466,511 - 535,536 - 635,636 - 651,652 - 666,-,-,-,-,411 - 521,-,522 - 666,-,-,-,-,411 - 446,-,451 - 453,454 - 511,512 - 645,646 - 655,656 - 666,-,-,411 - 512,-,513 - 544,-,545 - 666,-,-,-,-,Allrounder
142,HM Nicholls,New Zealand,5,84,96.43,20.25,-,-,-,-,411 - 666,-,-,-,-,411 - 423,424 - 441,-,-,442 - 652,653 - 666,-,-,-,411 - 424,425 - 436,-,441 - 521,522 - 642,-,643 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 464,465 - 512,-,513 - 524,525 - 656,661 - 662,663 - 666,-,-,411 - 424,425 - 436,-,441 - 521,522 - 642,-,643 - 666,-,-,
143,HN Ya France,Namibia,5,13,38.46,1.25,411 - 546,551 - 614,-,-,615 - 642,-,643 - 666,-,-,411 - 546,551 - 614,-,-,615 - 642,-,643 - 666,-,-,411 - 633,634 - 651,-,-,652 - 666,-,-,-,-,411 - 546,551 - 614,-,-,615 - 642,-,643 - 666,-,-,411 - 546,551 - 614,-,-,615 - 642,-,643 - 666,-,-,411 - 453,454 - 623,-,-,624 - 666,-,-,-,-,Batter
144,HR Walsh,West Indies,6,25,88.0,11.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 624,625 - 633,634 - 642,643 - 644,645 - 664,665 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,
145,HT Tector,Ireland,22,292,120.89,19.61,411 - 451,452 - 464,465 - 466,511 - 523,524 - 646,651 - 661,662 - 666,-,-,411 - 461,462 - 466,511 - 515,516 - 534,535 - 646,651 - 653,654 - 666,-,-,-,411 - 433,434 - 441,442 - 464,465 - 615,616 - 631,632 - 666,-,-,-,411 - 421,-,422 - 466,511 - 655,-,656 - 666,-,-,411 - 411,412 - 416,421 - 422,423 - 434,435 - 631,632 - 646,651 - 665,666 - 666,-,-,411 - 433,434 - 441,442 - 464,465 - 615,616 - 631,632 - 666,-,-,Batter
146,HV Patel,India,10,57,135.09,12.83,411 - 443,444 - 463,464 - 523,524 - 544,545 - 646,651 - 666,-,-,-,411 - 443,444 - 463,464 - 523,524 - 544,545 - 646,651 - 666,-,-,-,411 - 466,511 - 525,526 - 533,534 - 552,553 - 645,646 - 662,663 - 666,-,-,411 - 616,-,-,621 - 652,653 - 666,-,-,-,-,411 - 616,-,-,621 - 652,653 - 666,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,Bowler
147,Haider Ali,Pakistan,21,266,120.3,16.84,411 - 534,535 - 544,545 - 552,553 - 565,566 - 664,665 - 666,-,-,-,411 - 434,435 - 456,461 - 511,512 - 535,536 - 645,646 - 662,663 - 666,-,-,-,411 - 421,422 - 442,443 - 464,465 - 623,624 - 645,646 - 666,-,-,411 - 564,565 - 613,614 - 626,-,631 - 666,-,-,-,-,411 - 523,524 - 526,531 - 533,534 - 545,546 - 654,655 - 656,661 - 666,-,-,411 - 623,624 - 631,-,632 - 644,645 - 661,662 - 666,-,-,-,Batter
148,Hamza Tahir,Scotland,1,6,50.0,-,411 - 555,-,-,-,556 - 666,-,-,-,-,411 - 555,-,-,-,556 - 666,-,-,-,-,411 - 555,-,-,-,556 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
149,Haris Rauf,Pakistan,9,32,131.25,6.0,411 - 514,515 - 545,546 - 561,562 - 613,614 - 632,633 - 654,655 - 663,664 - 666,-,411 - 514,515 - 545,546 - 561,562 - 613,614 - 632,633 - 654,655 - 663,664 - 666,-,411 - 514,515 - 545,546 - 561,562 - 613,614 - 632,633 - 654,655 - 663,664 - 666,-,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,Bowler
150,Hasan Ali,Pakistan,8,31,196.77,15.25,411 - 516,521 - 613,-,-,-,614 - 666,-,-,-,411 - 516,521 - 613,-,-,-,614 - 666,-,-,-,411 - 446,451 - 464,465 - 532,533 - 553,554 - 624,625 - 645,646 - 663,664 - 666,-,411 - 516,521 - 613,-,-,-,614 - 666,-,-,-,411 - 516,521 - 613,-,-,-,614 - 666,-,-,-,411 - 446,451 - 464,465 - 532,533 - 553,554 - 624,625 - 645,646 - 663,664 - 666,-,
151,Hasan Mahmud,Bangladesh,3,5,100.0,5.0,411 - 433,434 - 464,-,-,465 - 565,566 - 635,-,636 - 666,-,411 - 433,434 - 464,-,-,465 - 565,566 - 635,-,636 - 666,-,411 - 433,434 - 464,-,-,465 - 565,566 - 635,-,636 - 666,-,411 - 433,434 - 464,-,-,465 - 565,566 - 635,-,636 - 666,-,411 - 433,434 - 464,-,-,465 - 565,566 - 635,-,636 - 666,-,411 - 433,434 - 464,-,-,465 - 565,566 - 635,-,636 - 666,-,Bowler
152,Hashmatullah Shahidi,Afghanistan,2,54,87.04,23.5,411 - 454,-,-,455 - 522,523 - 614,615 - 654,655 - 666,-,-,411 - 543,-,-,544 - 552,553 - 661,-,662 - 666,-,-,411 - 543,-,-,544 - 552,553 - 661,-,662 - 666,-,-,411 - 454,-,-,455 - 522,523 - 614,615 - 654,655 - 666,-,-,411 - 525,526 - 541,-,542 - 553,554 - 655,656 - 666,-,-,-,411 - 525,526 - 541,-,542 - 553,554 - 655,656 - 666,-,-,-,Batter
153,Hazratullah,Afghanistan,18,323,120.43,22.88,411 - 521,522 - 526,531 - 533,534 - 564,565 - 643,644 - 664,665 - 665,666 - 666,-,411 - 413,414 - 425,-,426 - 433,434 - 633,634 - 645,646 - 666,-,-,411 - 463,-,464 - 544,-,545 - 625,626 - 666,-,-,-,411 - 544,545 - 552,553 - 561,562 - 623,624 - 661,662 - 662,663 - 666,-,-,411 - 514,515 - 525,526 - 543,544 - 545,546 - 661,662 - 664,665 - 666,-,-,411 - 463,-,464 - 544,-,545 - 625,626 - 666,-,-,-,Batter
154,Hussain Talat,Pakistan,3,24,95.83,7.67,411 - 654,-,-,-,655 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 654,-,-,-,655 - 666,-,-,-,-,-,411 - 451,-,452 - 516,521 - 625,626 - 641,642 - 666,-,-,-,411 - 451,-,452 - 516,521 - 625,626 - 641,642 - 666,-,-,
155,I Kaia,Zimbabwe,7,133,87.22,23.2,411 - 522,523 - 525,526 - 526,531 - 543,544 - 633,634 - 654,655 - 665,666 - 666,-,411 - 542,-,-,-,543 - 656,-,661 - 666,-,-,411 - 463,464 - 523,-,-,524 - 666,-,-,-,-,411 - 612,613 - 623,-,-,624 - 645,646 - 655,656 - 666,-,-,411 - 452,453 - 461,462 - 466,-,511 - 644,645 - 653,654 - 666,-,-,-,-,-,411 - 466,511 - 566,-,611 - 666,-,-,
156,I Udana,Sri Lanka,4,27,96.3,13.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 463,464 - 513,514 - 523,524 - 533,534 - 645,-,646 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 523,-,-,-,524 - 666,-,-,-,-,
157,IS Sodhi,New Zealand,9,37,113.51,6.0,411 - 651,-,-,652 - 662,663 - 666,-,-,-,-,411 - 651,-,-,652 - 662,663 - 666,-,-,-,-,-,411 - 514,-,515 - 525,526 - 655,-,656 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 443,444 - 463,464 - 544,545 - 564,565 - 666,-,-,-,-,Bowler
158,Ibrahim Zadran,Afghanistan,10,252,113.89,47.83,411 - 536,541 - 544,-,545 - 566,611 - 664,665 - 666,-,-,-,411 - 454,-,455 - 461,462 - 523,524 - 645,646 - 653,654 - 666,-,-,411 - 444,445 - 463,464 - 514,515 - 544,545 - 633,634 - 651,652 - 666,-,-,411 - 542,543 - 553,-,-,554 - 655,-,656 - 666,-,-,411 - 513,-,514 - 514,515 - 523,524 - 661,662 - 662,663 - 666,-,-,411 - 444,-,445 - 462,-,463 - 625,626 - 634,635 - 666,-,-,Batter
159,Iftikhar Ahmed,Pakistan,20,297,118.52,20.71,411 - 464,465 - 514,-,515 - 545,546 - 652,-,653 - 663,664 - 666,-,-,411 - 433,-,434 - 443,444 - 641,642 - 653,654 - 666,-,-,411 - 415,416 - 433,434 - 453,454 - 513,514 - 636,641 - 644,645 - 666,-,-,411 - 631,-,-,-,632 - 666,-,-,-,-,411 - 513,514 - 514,515 - 522,523 - 532,533 - 656,661 - 663,664 - 666,-,-,-,411 - 436,441 - 466,-,511 - 636,641 - 666,-,-,-,Batter
160,Ihsanullah,Afghanistan,1,14,142.86,20.0,411 - 516,521 - 535,-,536 - 613,614 - 651,-,652 - 666,-,-,411 - 516,521 - 535,-,536 - 613,614 - 651,-,652 - 666,-,-,411 - 516,521 - 535,-,536 - 613,614 - 651,-,652 - 666,-,-,411 - 554,-,-,555 - 666,-,-,-,-,-,411 - 554,-,-,555 - 666,-,-,-,-,-,411 - 554,-,-,555 - 666,-,-,-,-,-,Batter
161,Imad Wasim,Pakistan,4,29,117.24,8.5,411 - 465,466 - 532,-,533 - 554,555 - 643,-,644 - 666,-,-,411 - 465,466 - 532,-,533 - 554,555 - 643,-,644 - 666,-,-,-,411 - 524,-,-,525 - 615,-,616 - 666,-,-,411 - 424,-,425 - 436,441 - 452,453 - 655,656 - 666,-,-,-,411 - 424,-,425 - 436,441 - 452,453 - 655,656 - 666,-,-,-,-,411 - 524,-,-,525 - 615,-,616 - 666,-,-,
162,Ishan Kishan,India,19,410,131.95,30.06,411 - 533,534 - 536,541 - 544,545 - 611,612 - 645,646 - 656,661 - 666,-,-,411 - 462,463 - 513,514 - 521,522 - 544,545 - 651,652 - 655,656 - 666,-,-,411 - 435,436 - 445,446 - 456,461 - 466,511 - 613,614 - 645,646 - 666,-,-,411 - 524,525 - 531,532 - 541,542 - 564,565 - 643,644 - 656,661 - 666,-,-,411 - 442,443 - 452,453 - 465,466 - 531,532 - 645,646 - 652,653 - 666,-,-,411 - 435,436 - 445,446 - 456,461 - 466,511 - 613,614 - 645,646 - 666,-,-,
163,J Charles,West Indies,3,68,113.24,38.5,411 - 531,532 - 534,535 - 541,542 - 553,554 - 612,613 - 644,645 - 656,661 - 666,-,411 - 423,424 - 455,456 - 531,-,532 - 666,-,-,-,-,411 - 423,424 - 455,456 - 531,-,532 - 666,-,-,-,-,411 - 531,532 - 534,535 - 541,542 - 553,554 - 612,613 - 644,645 - 656,661 - 666,-,411 - 422,-,423 - 426,431 - 443,444 - 653,654 - 661,662 - 666,-,-,411 - 422,-,423 - 426,431 - 443,444 - 653,654 - 661,662 - 666,-,-,WK Batter
164,J Little,Ireland,9,71,76.06,27.0,411 - 661,-,-,-,662 - 665,666 - 666,-,-,-,411 - 661,-,-,-,662 - 665,666 - 666,-,-,-,411 - 613,614 - 615,616 - 616,621 - 623,624 - 663,664 - 664,665 - 666,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,411 - 536,-,-,541 - 555,556 - 651,652 - 666,-,-,-,Bowler
165,J Liyanage,Sri Lanka,3,45,60.0,9.0,411 - 611,-,-,-,612 - 656,661 - 663,664 - 666,-,-,-,411 - 436,-,-,441 - 566,611 - 636,641 - 666,-,-,-,411 - 436,-,-,441 - 566,611 - 636,641 - 666,-,-,411 - 554,-,-,-,555 - 666,-,-,-,-,411 - 466,511 - 534,-,-,535 - 642,-,643 - 654,655 - 666,-,411 - 466,511 - 534,-,-,535 - 642,-,643 - 654,655 - 666,-,
166,JA Duffy,New Zealand,1,5,60.0,3.0,411 - 516,-,-,-,521 - 666,-,-,-,-,411 - 516,-,-,-,521 - 666,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,411 - 516,-,-,-,521 - 666,-,-,-,-,411 - 516,-,-,-,521 - 666,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,
167,JA Richardson,Australia,5,45,71.11,16.0,411 - 523,-,-,-,524 - 666,-,-,-,-,411 - 523,-,-,-,524 - 666,-,-,-,-,411 - 463,464 - 515,-,516 - 531,532 - 654,655 - 666,-,-,-,411 - 565,-,-,-,566 - 666,-,-,-,-,411 - 565,-,-,-,566 - 666,-,-,-,-,411 - 635,636 - 642,643 - 645,-,646 - 663,-,664 - 666,-,-,
168,JC Archer,England,2,10,180.0,18.0,411 - 426,431 - 443,444 - 456,461 - 525,526 - 554,555 - 653,654 - 666,-,-,411 - 426,431 - 443,444 - 456,461 - 525,526 - 554,555 - 653,654 - 666,-,-,411 - 426,431 - 443,444 - 456,461 - 525,526 - 554,555 - 653,654 - 666,-,-,411 - 426,431 - 443,444 - 456,461 - 525,526 - 554,555 - 653,654 - 666,-,-,411 - 426,431 - 443,444 - 456,461 - 525,526 - 554,555 - 653,654 - 666,-,-,411 - 426,431 - 443,444 - 456,461 - 525,526 - 554,555 - 653,654 - 666,-,-,
169,JC Buttler,England,23,541,151.94,43.26,411 - 461,462 - 466,511 - 521,522 - 553,554 - 635,636 - 646,651 - 663,664 - 666,-,411 - 421,422 - 425,426 - 435,436 - 511,512 - 635,636 - 643,644 - 666,-,-,411 - 453,-,454 - 522,523 - 542,543 - 631,632 - 641,642 - 666,-,-,411 - 464,465 - 512,513 - 524,525 - 545,546 - 651,652 - 655,656 - 666,-,-,411 - 445,446 - 452,453 - 465,466 - 516,521 - 635,636 - 643,644 - 666,-,-,411 - 523,-,-,-,524 - 666,-,-,-,-,WK Batter c
