,name,team,innings,ballsfaced,batting_sr,batting_avg,PaPP0,PaPPW,PaPP6,PaPP4,PaPP1,PaPPE,PaPP2,PaPP3,PaPP5,PaMO0,PaMOW,PaMO6,PaMO4,PaMO1,PaMOE,PaMO2,PaMO3,PaMO5,PaDO0,PaDOW,PaDO6,PaDO4,PaDO1,PaDOE,PaDO2,PaDO3,PaDO5,SpPP0,SpPPW,SpPP6,SpPP4,SpPP1,SpPPE,SpPP2,SpPP3,SpPP5,SpMO0,SpMOW,SpMO6,SpMO4,SpMO1,SpMOE,SpMO2,SpMO3,SpMO5,SpDO0,SpDOW,SpDO6,SpDO4,SpDO1,SpDOE,SpDO2,SpDO3,SpDO5,type
112,Q de Kock,Lucknow Super Giants,15,340,147.65,35.86,411 - 464,465 - 514,515 - 526,531 - 553,554 - 645,646 - 656,661 - 665,666 - 666,-,411 - 432,433 - 436,441 - 444,445 - 461,462 - 633,634 - 645,646 - 666,-,-,-,-,411 - 446,451 - 536,541 - 626,631 - 636,641 - 666,-,-,411 - 415,416 - 431,432 - 435,436 - 514,515 - 651,-,652 - 666,-,-,411 - 436,441 - 442,443 - 445,446 - 511,512 - 654,-,655 - 666,-,-,-,411 - 446,451 - 526,531 - 626,631 - 666,-,-,-,-,WK Batter
113,R Ashwin,Rajasthan Royals,12,135,139.26,31.33,411 - 523,524 - 541,-,542 - 633,634 - 666,-,-,-,-,411 - 462,463 - 511,-,512 - 516,521 - 643,-,644 - 666,-,-,-,411 - 426,431 - 436,441 - 465,466 - 624,625 - 644,645 - 666,-,-,411 - 542,-,543 - 615,616 - 633,634 - 666,-,-,-,-,411 - 461,-,462 - 511,-,512 - 663,664 - 666,-,-,-,-,411 - 435,436 - 516,-,521 - 654,655 - 666,-,-,-,Allrounder
114,R Dhawan,Punjab Kings,4,40,92.5,18.5,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 566,611 - 613,614 - 623,624 - 642,643 - 663,664 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 566,611 - 613,614 - 623,624 - 642,643 - 663,664 - 666,-,-,-,Allrounder
115,R Parag,Rajasthan Royals,14,132,137.88,18.2,411 - 543,-,-,544 - 562,563 - 656,-,661 - 666,-,-,411 - 543,-,-,544 - 562,563 - 656,-,661 - 666,-,-,411 - 435,436 - 455,456 - 514,515 - 533,534 - 641,642 - 653,654 - 666,-,-,411 - 421,-,422 - 435,436 - 444,445 - 643,644 - 652,653 - 666,-,-,411 - 421,-,422 - 435,436 - 444,445 - 643,644 - 652,653 - 666,-,-,411 - 532,533 - 553,-,-,554 - 656,-,661 - 666,-,-,Batter
116,R Powell,Delhi Capitals,12,167,149.1,24.9,411 - 453,454 - 511,-,512 - 516,521 - 642,643 - 651,652 - 666,-,-,411 - 453,454 - 511,-,512 - 516,521 - 642,643 - 651,652 - 666,-,-,411 - 443,444 - 455,456 - 536,541 - 556,561 - 651,652 - 662,663 - 666,-,-,411 - 553,554 - 555,556 - 613,614 - 615,616 - 661,662 - 665,666 - 666,-,-,411 - 553,554 - 555,556 - 613,614 - 615,616 - 661,662 - 665,666 - 666,-,-,411 - 511,512 - 525,526 - 543,-,544 - 652,-,653 - 666,-,-,Batter
117,R Sanjay Yadav,Mumbai Indians,1,2,0.0,0.0,411 - 632,633 - 666,-,-,-,-,-,-,-,411 - 632,633 - 666,-,-,-,-,-,-,-,411 - 632,633 - 666,-,-,-,-,-,-,-,411 - 632,633 - 666,-,-,-,-,-,-,-,411 - 632,633 - 666,-,-,-,-,-,-,-,411 - 632,633 - 666,-,-,-,-,-,-,-,Allrounder
118,R Shepherd,Sunrisers Hyderabad,3,41,141.46,29.0,-,-,411 - 536,-,-,541 - 623,624 - 666,-,-,-,-,411 - 536,-,-,541 - 623,624 - 666,-,-,411 - 465,466 - 522,523 - 543,544 - 555,556 - 641,642 - 662,663 - 666,-,-,411 - 621,-,-,-,622 - 646,-,651 - 666,-,-,411 - 621,-,-,-,622 - 646,-,651 - 666,-,-,411 - 622,623 - 666,-,-,-,-,-,-,-,Allrounder
119,R Tewatia,Gujarat Titans,12,147,146.94,43.2,411 - 626,631 - 632,-,633 - 643,644 - 666,-,-,-,-,411 - 626,631 - 632,-,633 - 643,644 - 666,-,-,-,-,411 - 443,444 - 454,455 - 466,511 - 536,541 - 635,636 - 654,655 - 666,-,-,411 - 533,-,-,-,534 - 663,-,664 - 666,-,-,411 - 533,-,-,-,534 - 663,-,664 - 666,-,-,-,-,411 - 444,445 - 536,541 - 651,652 - 666,-,-,-,Allrounder
120,RA Bawa,Punjab Kings,2,14,78.57,5.5,411 - 666,-,-,-,-,-,-,-,-,-,411 - 466,-,-,511 - 666,-,-,-,-,-,411 - 466,-,-,511 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 543,544 - 555,-,556 - 612,613 - 654,-,655 - 666,-,-,411 - 543,544 - 555,-,556 - 612,613 - 654,-,655 - 666,-,-,Allrounder
121,RA Jadeja,Chennai Super Kings,10,98,117.35,19.17,411 - 646,651 - 666,-,-,-,-,-,-,-,411 - 536,-,-,-,541 - 644,645 - 666,-,-,-,411 - 422,423 - 436,441 - 454,455 - 512,513 - 631,632 - 652,653 - 666,-,-,411 - 646,651 - 666,-,-,-,-,-,-,-,411 - 451,452 - 461,-,-,462 - 641,642 - 651,652 - 666,-,-,411 - 511,512 - 525,-,526 - 543,544 - 652,-,653 - 666,-,-,Allrounder
122,RA Tripathi,Sunrisers Hyderabad,14,260,155.0,33.58,411 - 464,465 - 512,513 - 524,525 - 554,555 - 646,651 - 655,656 - 665,666 - 666,-,411 - 444,445 - 453,454 - 466,511 - 535,536 - 651,652 - 661,662 - 666,-,-,-,411 - 432,433 - 466,511 - 555,556 - 655,656 - 666,-,-,-,411 - 546,-,-,551 - 623,624 - 666,-,-,-,-,411 - 425,426 - 435,436 - 445,446 - 465,466 - 636,641 - 646,651 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,Batter
123,RD Chahar,Punjab Kings,8,68,110.29,15.0,411 - 543,544 - 612,-,-,613 - 641,-,642 - 666,-,-,411 - 543,544 - 612,-,-,613 - 641,-,642 - 666,-,-,411 - 555,556 - 566,611 - 615,616 - 631,632 - 661,662 - 663,664 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 622,623 - 633,-,634 - 644,645 - 666,-,-,-,-,Bowler
124,RD Gaikwad,Chennai Super Kings,14,289,126.99,28.23,411 - 521,522 - 531,532 - 535,536 - 561,562 - 652,653 - 662,663 - 665,666 - 666,-,411 - 433,434 - 441,442 - 455,456 - 533,534 - 656,661 - 662,663 - 666,-,-,-,411 - 432,-,433 - 443,444 - 555,556 - 566,611 - 666,-,-,411 - 462,-,463 - 516,521 - 533,534 - 635,-,636 - 666,-,-,411 - 414,415 - 416,421 - 425,426 - 431,432 - 655,656 - 661,662 - 666,-,-,411 - 452,453 - 535,-,-,536 - 666,-,-,-,-,Batter
125,RG Sharma,Mumbai Indians,14,222,118.92,18.86,411 - 543,544 - 551,552 - 562,563 - 623,624 - 653,654 - 662,663 - 666,-,-,-,411 - 425,-,-,426 - 536,541 - 666,-,-,-,-,411 - 425,-,-,426 - 536,541 - 666,-,-,-,411 - 432,433 - 446,-,451 - 523,524 - 651,-,-,652 - 666,-,411 - 442,443 - 465,466 - 513,514 - 524,525 - 643,644 - 651,652 - 666,-,-,411 - 442,443 - 465,466 - 513,514 - 524,525 - 643,644 - 651,652 - 666,-,-,Batter
126,RK Singh,Kolkata Knight Riders,7,117,148.72,34.8,411 - 523,-,524 - 551,-,552 - 666,-,-,-,-,411 - 525,526 - 535,-,536 - 562,563 - 643,644 - 653,654 - 666,-,-,411 - 444,445 - 452,453 - 512,513 - 543,544 - 632,633 - 654,655 - 666,-,-,411 - 523,-,524 - 551,-,552 - 666,-,-,-,-,411 - 444,445 - 453,-,-,454 - 651,-,652 - 666,-,-,411 - 426,-,-,431 - 463,464 - 633,634 - 651,652 - 666,-,-,Batter
127,RM Patidar,Royal Challengers Bangalore,7,217,153.0,55.33,411 - 563,-,564 - 564,565 - 626,631 - 655,656 - 665,-,666 - 666,-,-,411 - 412,413 - 423,424 - 451,452 - 624,625 - 641,642 - 666,-,-,411 - 543,544 - 554,555 - 621,622 - 632,633 - 655,-,656 - 666,-,-,411 - 421,-,422 - 434,435 - 522,523 - 636,641 - 653,654 - 666,-,-,411 - 416,421 - 424,425 - 442,443 - 452,453 - 633,634 - 656,661 - 666,-,-,-,411 - 433,434 - 615,616 - 666,-,-,-,-,-,Batter
128,RP Meredith,Mumbai Indians,1,1,0.0,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Bowler
129,RR Pant,Delhi Capitals,13,222,152.25,30.73,411 - 424,425 - 441,-,442 - 524,525 - 636,641 - 666,-,-,-,411 - 455,456 - 515,516 - 521,522 - 546,551 - 645,646 - 662,663 - 666,-,-,411 - 435,436 - 451,452 - 515,516 - 543,544 - 634,635 - 662,663 - 666,-,-,411 - 511,-,512 - 521,522 - 635,636 - 666,-,-,-,-,411 - 462,463 - 466,511 - 521,522 - 536,541 - 652,653 - 656,661 - 666,-,-,-,-,411 - 524,525 - 552,553 - 643,644 - 666,-,-,-,WK Batter
130,RV Patel,Delhi Capitals,1,3,200.0,6.0,411 - 521,522 - 613,614 - 666,-,-,-,-,-,-,411 - 521,522 - 613,614 - 666,-,-,-,-,-,-,411 - 521,522 - 613,614 - 666,-,-,-,-,-,-,411 - 521,522 - 613,614 - 666,-,-,-,-,-,-,411 - 521,522 - 613,614 - 666,-,-,-,-,-,-,411 - 521,522 - 613,614 - 666,-,-,-,-,-,-,Batter
131,RV Uthappa,Chennai Super Kings,11,171,134.5,20.91,411 - 531,532 - 535,536 - 544,545 - 611,612 - 643,644 - 655,656 - 664,665 - 666,-,411 - 412,413 - 425,426 - 442,443 - 512,513 - 666,-,-,-,-,411 - 444,445 - 455,456 - 533,534 - 544,545 - 621,622 - 666,-,-,-,-,411 - 466,-,-,511 - 666,-,-,-,-,411 - 462,463 - 516,521 - 541,-,542 - 652,-,653 - 666,-,-,-,411 - 466,511 - 566,-,-,611 - 666,-,-,-,Batter
132,Ramandeep Singh,Mumbai Indians,4,39,115.38,22.5,411 - 432,-,-,-,433 - 615,616 - 666,-,-,-,411 - 543,544 - 612,-,-,613 - 654,-,655 - 666,-,-,411 - 426,-,431 - 443,444 - 525,526 - 554,555 - 624,625 - 653,654 - 666,-,411 - 432,-,-,-,433 - 615,616 - 666,-,-,-,411 - 432,-,-,-,433 - 626,631 - 654,655 - 666,-,-,411 - 426,-,431 - 443,444 - 525,526 - 554,555 - 624,625 - 653,654 - 666,-,Batter
133,Rashid Khan,Gujarat Titans,8,44,206.82,22.75,411 - 521,-,-,-,522 - 666,-,-,-,-,411 - 521,-,-,-,522 - 666,-,-,-,-,-,411 - 432,433 - 522,523 - 536,541 - 634,635 - 645,646 - 663,664 - 666,-,411 - 521,-,-,-,522 - 666,-,-,-,-,411 - 521,-,-,-,522 - 666,-,-,-,-,411 - 522,-,-,-,523 - 666,-,-,-,-,Allrounder
134,Rasikh Salam,Kolkata Knight Riders,1,6,116.67,7.0,411 - 632,633 - 643,-,644 - 655,-,-,-,656 - 666,-,411 - 632,633 - 643,-,644 - 655,-,-,-,656 - 666,-,411 - 632,633 - 643,-,644 - 655,-,-,-,656 - 666,-,411 - 632,633 - 643,-,644 - 655,-,-,-,656 - 666,-,411 - 632,633 - 643,-,644 - 655,-,-,-,656 - 666,-,411 - 632,633 - 643,-,644 - 655,-,-,-,656 - 666,-,Bowler
135,Ravi Bishnoi,Lucknow Super Giants,1,1,0.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
136,S Dhawan,Punjab Kings,14,372,123.39,38.25,411 - 521,522 - 523,524 - 526,531 - 554,555 - 644,645 - 656,661 - 665,666 - 666,-,411 - 422,423 - 426,431 - 431,432 - 454,455 - 631,632 - 653,654 - 666,-,-,411 - 412,413 - 416,421 - 433,434 - 511,512 - 632,633 - 645,646 - 666,-,-,411 - 454,455 - 466,511 - 524,525 - 536,541 - 643,644 - 661,662 - 666,-,-,411 - 434,435 - 442,443 - 444,445 - 454,455 - 644,645 - 656,661 - 666,-,-,411 - 412,413 - 416,421 - 433,434 - 511,512 - 632,633 - 645,646 - 666,-,-,Batter
137,S Dube,Chennai Super Kings,11,184,155.98,31.89,411 - 463,-,-,464 - 526,531 - 616,621 - 643,644 - 666,-,-,411 - 461,462 - 512,513 - 523,524 - 553,554 - 644,645 - 654,655 - 666,-,-,411 - 431,432 - 445,446 - 515,516 - 533,534 - 633,634 - 645,646 - 666,-,-,411 - 463,-,-,464 - 526,531 - 616,621 - 643,644 - 666,-,-,411 - 511,512 - 512,513 - 522,523 - 533,534 - 651,652 - 656,661 - 666,-,-,-,-,411 - 432,433 - 453,454 - 645,-,646 - 666,-,-,Allrounder
138,S Gopal,Sunrisers Hyderabad,1,7,128.57,-,411 - 555,-,-,556 - 644,645 - 666,-,-,-,-,411 - 555,-,-,556 - 644,645 - 666,-,-,-,-,411 - 555,-,-,556 - 644,645 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Allrounder
139,SA Abbott,Sunrisers Hyderabad,1,5,140.0,7.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 462,463 - 543,544 - 625,-,626 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 462,463 - 543,544 - 625,-,626 - 666,-,-,-,-,Allrounder
140,SA Yadav,Mumbai Indians,8,206,146.12,43.0,411 - 465,-,-,466 - 565,566 - 635,-,636 - 653,654 - 666,-,411 - 451,452 - 455,456 - 466,511 - 531,532 - 632,633 - 645,646 - 666,-,-,411 - 464,465 - 514,515 - 545,546 - 566,611 - 652,653 - 663,664 - 666,-,-,411 - 515,-,516 - 526,531 - 541,542 - 655,-,656 - 666,-,-,411 - 461,462 - 465,466 - 513,514 - 524,525 - 655,656 - 656,661 - 666,-,-,411 - 411,412 - 423,424 - 451,452 - 516,521 - 654,655 - 666,-,-,-,Batter
141,SE Rutherford,Royal Challengers Bangalore,2,50,66.0,16.5,411 - 646,-,-,-,651 - 656,661 - 663,664 - 666,-,-,411 - 451,452 - 513,-,-,514 - 644,645 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 646,-,-,-,651 - 656,661 - 663,664 - 666,-,-,411 - 531,-,532 - 535,536 - 543,544 - 655,656 - 666,-,-,-,411 - 622,-,-,-,623 - 666,-,-,-,-,Batter
142,SN Khan,Delhi Capitals,5,67,135.82,30.33,411 - 465,466 - 522,523 - 535,536 - 623,624 - 653,-,654 - 666,-,-,411 - 536,-,-,-,541 - 655,656 - 666,-,-,-,-,-,-,411 - 433,434 - 615,616 - 643,644 - 666,-,-,411 - 432,433 - 456,461 - 524,525 - 615,616 - 643,-,644 - 666,-,-,411 - 413,414 - 423,-,424 - 443,444 - 635,-,636 - 666,-,-,-,-,-,411 - 433,434 - 615,616 - 643,644 - 666,-,-,Batter
143,SN Thakur,Delhi Capitals,10,87,136.78,17.0,411 - 425,426 - 436,-,441 - 526,531 - 643,644 - 655,656 - 666,-,-,411 - 425,426 - 436,-,441 - 526,531 - 643,644 - 655,656 - 666,-,-,411 - 414,415 - 442,443 - 464,465 - 516,521 - 642,643 - 651,652 - 666,-,-,411 - 536,-,-,-,541 - 655,-,656 - 666,-,-,411 - 536,-,-,-,541 - 655,-,656 - 666,-,-,411 - 622,623 - 625,626 - 635,-,636 - 656,661 - 663,664 - 666,-,-,Bowler
144,SO Hetmyer,Rajasthan Royals,15,204,153.92,44.86,411 - 515,516 - 524,525 - 526,531 - 543,544 - 644,645 - 661,662 - 666,-,-,411 - 515,516 - 524,525 - 526,531 - 543,544 - 644,645 - 661,662 - 666,-,-,411 - 433,434 - 436,441 - 466,511 - 532,533 - 635,636 - 656,661 - 666,-,-,411 - 624,-,625 - 626,631 - 633,634 - 656,661 - 662,663 - 665,666 - 666,-,411 - 624,-,625 - 626,631 - 633,634 - 656,661 - 662,663 - 665,666 - 666,-,411 - 522,523 - 532,533 - 535,536 - 542,543 - 631,632 - 652,653 - 666,-,-,Batter
145,SP Jackson,Kolkata Knight Riders,5,26,88.46,5.75,411 - 621,622 - 635,636 - 653,-,654 - 666,-,-,-,-,411 - 621,622 - 635,636 - 653,-,654 - 666,-,-,-,-,-,411 - 436,-,-,441 - 636,-,641 - 666,-,-,411 - 521,522 - 613,-,-,614 - 666,-,-,-,-,411 - 521,522 - 613,-,-,614 - 666,-,-,-,-,411 - 545,-,-,-,546 - 666,-,-,-,-,WK Batter
146,SP Narine,Kolkata Knight Riders,9,40,177.5,10.14,411 - 463,464 - 553,554 - 616,621 - 643,644 - 666,-,-,-,-,411 - 462,463 - 525,526 - 552,553 - 615,616 - 666,-,-,-,-,411 - 452,453 - 512,513 - 611,-,612 - 666,-,-,-,-,411 - 463,464 - 553,554 - 616,621 - 643,644 - 666,-,-,-,-,411 - 511,512 - 535,536 - 551,552 - 631,632 - 654,-,655 - 666,-,-,-,411 - 466,-,511 - 566,611 - 666,-,-,-,-,Allrounder
147,SS Iyer,Kolkata Knight Riders,14,298,134.56,30.85,411 - 461,462 - 463,464 - 465,466 - 546,551 - 645,646 - 653,654 - 665,666 - 666,-,411 - 466,511 - 523,524 - 526,531 - 544,545 - 626,631 - 646,651 - 663,664 - 666,-,-,-,411 - 426,431 - 446,451 - 646,-,651 - 666,-,-,-,-,-,411 - 444,445 - 632,-,633 - 666,-,-,411 - 432,433 - 441,442 - 451,452 - 464,465 - 645,646 - 654,655 - 666,-,-,-,411 - 453,-,-,454 - 623,624 - 666,-,-,-,Batter
148,SS Prabhudessai,Royal Challengers Bangalore,5,58,115.52,13.4,411 - 636,-,-,641 - 644,645 - 661,662 - 666,-,-,-,411 - 511,512 - 523,-,524 - 551,552 - 654,-,-,655 - 666,-,411 - 511,512 - 523,-,524 - 551,552 - 654,-,-,655 - 666,-,-,-,-,-,411 - 666,-,-,-,-,411 - 461,462 - 521,522 - 531,532 - 551,552 - 636,641 - 656,661 - 663,664 - 666,-,411 - 461,462 - 521,522 - 531,532 - 551,552 - 636,641 - 656,661 - 663,664 - 666,-,Allrounder
149,SV Samson,Rajasthan Royals,17,311,147.27,30.53,411 - 545,-,546 - 553,554 - 625,626 - 653,654 - 661,662 - 666,-,-,411 - 466,511 - 516,521 - 525,526 - 545,546 - 661,662 - 665,666 - 666,-,-,411 - 432,433 - 455,456 - 514,515 - 553,554 - 635,636 - 662,663 - 666,-,-,411 - 542,-,543 - 556,561 - 624,625 - 652,-,653 - 661,662 - 666,-,411 - 464,465 - 514,515 - 533,534 - 546,551 - 651,652 - 654,655 - 666,-,-,411 - 535,-,536 - 613,-,614 - 666,-,-,-,-,WK Batter
150,SW Billings,Kolkata Knight Riders,8,137,118.98,23.29,411 - 546,551 - 562,-,563 - 626,-,631 - 642,643 - 666,-,-,411 - 521,522 - 525,526 - 533,534 - 541,542 - 636,641 - 662,663 - 666,-,-,411 - 432,433 - 453,454 - 463,464 - 534,535 - 625,626 - 645,646 - 666,-,-,411 - 546,551 - 562,-,563 - 626,-,631 - 642,643 - 666,-,-,411 - 512,513 - 514,515 - 525,526 - 532,533 - 654,655 - 656,661 - 666,-,-,411 - 464,465 - 531,532 - 621,-,622 - 666,-,-,-,-,WK Batter
151,Shahbaz Ahmed,Royal Challengers Bangalore,11,179,121.79,31.14,411 - 666,-,-,-,-,-,-,-,-,411 - 451,452 - 452,453 - 462,463 - 516,521 - 625,626 - 645,646 - 666,-,-,411 - 466,511 - 516,521 - 533,534 - 552,553 - 624,625 - 644,645 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 521,522 - 524,-,525 - 533,534 - 644,645 - 656,661 - 664,665 - 666,-,-,411 - 445,446 - 512,-,513 - 631,632 - 666,-,-,-,Allrounder
152,Shashank Singh,Sunrisers Hyderabad,5,47,146.81,17.25,411 - 424,425 - 443,-,444 - 521,522 - 632,-,633 - 666,-,-,411 - 424,425 - 443,-,444 - 521,522 - 632,-,633 - 666,-,-,411 - 422,423 - 441,442 - 465,466 - 533,534 - 642,-,643 - 666,-,-,411 - 621,-,622 - 643,-,-,644 - 666,-,-,-,411 - 621,-,622 - 643,-,-,644 - 666,-,-,-,411 - 656,661 - 662,-,-,663 - 666,-,-,-,-,Allrounder
153,Shivam Mavi,Kolkata Knight Riders,3,7,42.86,1.5,-,-,-,-,411 - 566,611 - 666,-,-,-,-,-,-,-,411 - 566,611 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Allrounder
154,Shubman Gill,Gujarat Titans,16,362,132.04,39.83,411 - 452,453 - 462,-,463 - 532,533 - 652,653 - 663,664 - 666,-,-,-,411 - 414,415 - 416,421 - 452,453 - 652,653 - 654,655 - 666,-,-,-,411 - 424,425 - 433,434 - 451,452 - 642,643 - 661,662 - 666,-,-,411 - 536,-,541 - 546,551 - 615,616 - 662,663 - 664,665 - 666,-,-,411 - 441,442 - 446,451 - 455,456 - 515,516 - 635,636 - 636,641 - 666,-,-,411 - 441,-,442 - 465,-,466 - 614,615 - 626,631 - 666,-,-,Batter
155,Simarjeet Singh,Chennai Super Kings,3,8,87.5,7.0,411 - 521,522 - 613,-,-,-,-,614 - 666,-,-,411 - 521,522 - 613,-,-,-,-,614 - 666,-,-,411 - 444,-,-,-,445 - 632,-,633 - 666,-,-,411 - 521,522 - 613,-,-,-,-,614 - 666,-,-,411 - 521,522 - 613,-,-,-,-,614 - 666,-,-,411 - 444,-,-,-,445 - 632,-,633 - 666,-,-,Bowler
156,T Stubbs,Mumbai Indians,2,4,50.0,2.0,411 - 546,551 - 666,-,-,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 546,551 - 666,-,-,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,WK Batter
157,TA Boult,Rajasthan Royals,7,29,137.93,20.0,-,411 - 415,-,416 - 433,434 - 615,616 - 624,625 - 666,-,-,-,411 - 415,-,416 - 433,434 - 615,616 - 624,625 - 666,-,-,-,411 - 415,-,416 - 433,434 - 615,616 - 624,625 - 666,-,-,411 - 464,465 - 531,532 - 554,-,555 - 643,-,644 - 666,-,-,411 - 464,465 - 531,532 - 554,-,555 - 643,-,644 - 666,-,-,411 - 464,465 - 531,532 - 554,-,555 - 643,-,644 - 666,-,-,Bowler
158,TG Southee,Kolkata Knight Riders,5,12,16.67,0.5,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 632,633 - 655,-,-,656 - 666,-,-,-,-,411 - 521,522 - 613,-,-,614 - 666,-,-,-,-,411 - 521,522 - 613,-,-,614 - 666,-,-,-,-,411 - 632,633 - 655,-,-,656 - 666,-,-,-,-,Bowler
159,TH David,Mumbai Indians,8,86,216.28,46.5,411 - 451,-,452 - 513,514 - 622,623 - 666,-,-,-,-,411 - 451,-,452 - 513,514 - 622,623 - 666,-,-,-,-,411 - 422,423 - 434,435 - 514,515 - 544,545 - 632,633 - 646,651 - 666,-,-,411 - 534,535 - 544,545 - 563,-,564 - 666,-,-,-,-,411 - 534,535 - 544,545 - 563,-,564 - 666,-,-,-,-,-,411 - 426,431 - 446,-,451 - 666,-,-,-,-,Batter
160,TL Seifert,Delhi Capitals,2,19,126.32,12.0,411 - 446,451 - 461,-,462 - 545,546 - 622,623 - 644,645 - 655,656 - 666,-,411 - 446,451 - 461,-,462 - 545,546 - 622,623 - 644,645 - 655,656 - 666,-,411 - 446,451 - 461,-,462 - 545,546 - 622,623 - 644,645 - 655,656 - 666,-,411 - 662,663 - 666,-,-,-,-,-,-,-,411 - 662,663 - 666,-,-,-,-,-,-,-,411 - 662,663 - 666,-,-,-,-,-,-,-,WK Batter
161,TS Mills,Mumbai Indians,2,3,0.0,0.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
162,Tilak Varma,Mumbai Indians,14,303,131.02,49.62,411 - 614,615 - 622,-,623 - 633,634 - 666,-,-,-,-,411 - 515,516 - 523,524 - 531,532 - 544,545 - 644,645 - 656,661 - 666,-,-,411 - 451,452 - 463,464 - 513,514 - 542,543 - 646,651 - 662,663 - 664,665 - 666,-,-,-,-,-,411 - 666,-,-,-,-,411 - 422,423 - 423,424 - 435,436 - 451,452 - 646,651 - 653,654 - 666,-,-,-,-,411 - 422,423 - 434,435 - 625,-,626 - 666,-,-,Allrounder
163,UT Yadav,Kolkata Knight Riders,7,40,137.5,13.75,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 522,523 - 534,535 - 553,554 - 565,566 - 651,652 - 661,662 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 622,623 - 635,-,636 - 653,654 - 666,-,-,-,-,Bowler
164,Umran Malik,Sunrisers Hyderabad,4,8,50.0,4.0,411 - 565,-,-,-,566 - 635,636 - 653,654 - 666,-,-,411 - 565,-,-,-,566 - 635,636 - 653,654 - 666,-,-,411 - 565,-,-,-,566 - 635,636 - 653,654 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Bowler
165,V Kohli,Royal Challengers Bangalore,16,294,115.65,26.15,411 - 525,526 - 535,536 - 541,542 - 612,613 - 645,646 - 656,661 - 664,665 - 666,-,411 - 454,455 - 462,463 - 464,465 - 526,531 - 651,652 - 653,654 - 664,665 - 666,-,-,411 - 425,-,-,426 - 642,-,643 - 661,662 - 666,-,411 - 432,433 - 441,442 - 446,451 - 455,456 - 651,652 - 661,662 - 666,-,-,411 - 454,455 - 461,462 - 465,466 - 512,513 - 643,644 - 653,654 - 666,-,-,411 - 452,453 - 623,624 - 666,-,-,-,-,-,-,Batter
166,V Shankar,Gujarat Titans,4,35,54.29,4.75,411 - 516,521 - 532,-,533 - 536,541 - 643,644 - 662,663 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 562,563 - 623,-,-,624 - 645,-,646 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Allrounder
167,VG Arora,Punjab Kings,4,13,38.46,2.5,411 - 616,621 - 633,-,-,634 - 662,663 - 666,-,-,-,411 - 616,621 - 633,-,-,634 - 662,663 - 666,-,-,-,411 - 616,621 - 633,-,-,634 - 662,663 - 666,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,Bowler
