,name,PP0,PP1,PP2,PP3,PP4,PP5,PP6,PPE,PPW,MO0,MO1,MO2,MO3,MO4,MO5,MO6,MOE,MOW,DO0,DO1,DO2,DO3,DO4,DO5,DO6,DOE,DOW,team,type
206,Mujeeb Ur Rahman,411 - 523,524 - 626,631 - 634,-,635 - 644,-,645 - 651,652 - 654,655 - 666,411 - 525,526 - 616,621 - 626,-,631 - 642,643 - 643,644 - 651,652 - 655,656 - 666,411 - 542,543 - 563,564 - 624,-,625 - 645,-,646 - 655,656 - 666,-,Afghanistan,Spin
207,Mustafizur Rahman,411 - 535,536 - 612,613 - 615,-,616 - 636,-,641 - 644,645 - 662,663 - 666,411 - 466,511 - 624,625 - 632,-,633 - 646,-,651 - 652,653 - 662,663 - 666,411 - 463,464 - 554,555 - 566,611 - 611,612 - 632,-,633 - 641,642 - 655,656 - 666,Bangladesh,Pace
208,N Pradeep,-,411 - 523,524 - 536,-,541 - 566,-,611 - 623,624 - 666,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka,Pace
209,N Thushara,411 - 456,461 - 544,545 - 552,553 - 565,566 - 635,-,-,636 - 661,662 - 666,-,411 - 532,533 - 562,-,563 - 641,-,-,642 - 662,663 - 666,411 - 433,434 - 464,465 - 534,535 - 565,566 - 635,-,636 - 666,-,-,Sri Lanka,Pace
210,NLTC Perera,-,-,-,-,-,-,-,-,-,-,411 - 436,-,-,441 - 566,-,611 - 636,641 - 666,-,-,411 - 436,441 - 466,-,511 - 566,-,611 - 666,-,-,Sri Lanka,Pace
211,NT Ellis,411 - 446,451 - 616,621 - 625,-,626 - 652,-,-,653 - 661,662 - 666,411 - 442,443 - 613,614 - 633,-,634 - 653,-,-,654 - 655,656 - 666,411 - 462,463 - 551,552 - 561,-,562 - 621,-,-,622 - 625,626 - 666,Australia,Pace
212,Naseem Shah,411 - 524,525 - 614,615 - 621,622 - 623,624 - 643,-,644 - 646,651 - 661,662 - 666,411 - 456,461 - 562,563 - 626,-,631 - 656,-,661 - 662,-,663 - 666,411 - 464,465 - 553,554 - 566,-,611 - 624,-,625 - 642,643 - 654,655 - 666,Pakistan,Pace
213,Nasum Ahmed,411 - 544,545 - 623,624 - 632,-,633 - 645,-,646 - 654,655 - 655,656 - 666,411 - 445,446 - 616,621 - 625,-,626 - 641,-,642 - 654,655 - 661,662 - 666,411 - 523,524 - 542,543 - 615,-,616 - 633,-,634 - 652,-,653 - 666,Bangladesh,Spin
214,Naveen-ul-Haq,411 - 465,466 - 562,563 - 611,612 - 612,613 - 643,-,644 - 646,651 - 655,656 - 666,411 - 431,432 - 546,551 - 561,-,562 - 634,-,635 - 642,643 - 654,655 - 666,411 - 465,466 - 553,554 - 621,-,622 - 641,-,642 - 646,651 - 656,661 - 666,Afghanistan,Pace
215,Nazmul Hossain Shanto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bangladesh,Spin
216,Nijat Masood,-,411 - 534,535 - 542,-,543 - 622,-,623 - 626,631 - 662,663 - 666,411 - 421,422 - 634,-,-,635 - 652,-,-,-,653 - 666,-,411 - 553,554 - 614,-,-,-,615 - 622,623 - 644,645 - 666,Afghanistan,Pace
217,Noor Ahmad,-,-,-,-,-,-,-,-,-,411 - 542,543 - 622,623 - 626,-,-,-,-,631 - 641,642 - 666,-,-,-,-,-,-,-,-,-,Afghanistan,Spin
218,O Thomas,411 - 466,511 - 536,541 - 542,-,543 - 624,625 - 631,632 - 645,646 - 663,664 - 666,411 - 415,416 - 542,543 - 551,-,552 - 644,-,645 - 653,654 - 666,-,-,411 - 523,524 - 536,-,541 - 553,-,554 - 623,624 - 636,641 - 666,West Indies,Pace
219,OC McCoy,411 - 463,464 - 552,553 - 556,561 - 561,562 - 623,-,624 - 632,633 - 653,654 - 666,411 - 465,466 - 611,612 - 622,-,623 - 635,-,636 - 643,644 - 656,661 - 666,411 - 434,435 - 551,552 - 564,-,565 - 621,-,622 - 635,636 - 653,654 - 666,West Indies,Pace
220,OF Smith,411 - 441,442 - 521,522 - 533,-,534 - 564,-,565 - 626,631 - 654,655 - 666,411 - 444,445 - 555,556 - 611,-,612 - 632,-,633 - 643,644 - 661,662 - 666,411 - 435,436 - 542,543 - 554,555 - 555,556 - 623,-,624 - 633,634 - 646,651 - 666,West Indies,Pace
221,OJ Hairs,-,-,-,-,-,-,-,-,-,411 - 413,414 - 533,-,-,534 - 621,-,-,622 - 652,653 - 666,-,-,-,-,-,-,-,-,-,Scotland,Spin
222,OP Stone,411 - 453,454 - 562,563 - 634,-,635 - 666,-,-,-,-,411 - 415,416 - 564,565 - 621,-,622 - 652,-,-,653 - 666,-,-,411 - 636,-,-,641 - 666,-,-,-,-,England,Pace
223,P Jayawickrama,411 - 432,433 - 621,-,-,622 - 655,-,-,-,656 - 666,411 - 415,416 - 546,551 - 626,-,631 - 652,-,653 - 662,663 - 664,665 - 666,-,-,-,-,-,-,-,-,-,Sri Lanka,Spin
224,PA van Meekeren,411 - 464,465 - 636,-,-,641 - 646,-,651 - 656,661 - 666,-,411 - 515,516 - 564,565 - 622,623 - 625,626 - 643,-,-,644 - 656,661 - 666,411 - 613,614 - 645,-,-,646 - 652,-,-,653 - 655,656 - 666,Netherlands,Pace
225,PADLR Sandakan,-,-,-,-,-,-,-,-,-,411 - 514,515 - 632,633 - 643,-,644 - 652,-,653 - 656,661 - 664,665 - 666,411 - 562,563 - 624,-,-,-,-,625 - 632,-,633 - 666,Sri Lanka,Spin
226,PHKD Mendis,411 - 652,-,653 - 661,-,-,-,662 - 666,-,-,411 - 446,451 - 622,623 - 653,-,654 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka,Spin
227,PJ Cummins,411 - 554,555 - 615,616 - 622,623 - 623,624 - 643,-,644 - 652,653 - 661,662 - 666,411 - 523,524 - 616,621 - 626,631 - 631,632 - 645,-,646 - 652,653 - 662,663 - 666,411 - 435,436 - 543,544 - 563,-,564 - 626,-,631 - 635,636 - 656,661 - 666,Australia,Pace
228,PM Liyanagamage,411 - 455,456 - 545,546 - 616,-,621 - 632,-,-,633 - 643,644 - 666,411 - 446,451 - 566,611 - 626,-,631 - 646,-,-,651 - 653,654 - 666,-,411 - 444,445 - 466,511 - 521,522 - 544,-,545 - 566,611 - 644,645 - 666,Sri Lanka,Pace
229,PM Seelaar,-,-,-,-,-,-,-,-,-,411 - 555,556 - 646,-,-,-,-,651 - 656,-,661 - 666,-,-,-,-,-,-,-,-,-,Netherlands,Spin
230,PR Stirling,411 - 452,453 - 612,613 - 615,-,616 - 644,-,-,-,645 - 666,411 - 414,415 - 614,615 - 646,-,-,-,651 - 656,661 - 666,-,-,-,-,-,-,-,-,-,-,Ireland,Spin
231,PVD Chameera,411 - 513,514 - 564,565 - 614,615 - 616,621 - 643,-,644 - 645,646 - 662,663 - 666,411 - 516,521 - 613,614 - 625,-,626 - 645,-,646 - 652,653 - 662,663 - 666,411 - 445,446 - 552,553 - 613,-,614 - 632,-,633 - 642,643 - 654,655 - 666,Sri Lanka,Pace
232,PWA Mulder,411 - 553,554 - 616,-,-,621 - 666,-,-,-,-,411 - 441,442 - 565,566 - 615,-,616 - 625,-,626 - 633,634 - 654,655 - 666,-,411 - 561,562 - 614,-,615 - 626,-,631 - 642,643 - 654,655 - 666,South Africa,Pace
233,PWH de Silva,411 - 443,444 - 536,541 - 552,-,553 - 624,-,625 - 633,634 - 641,642 - 666,411 - 516,521 - 625,626 - 641,642 - 642,643 - 652,-,653 - 655,656 - 656,661 - 666,411 - 463,464 - 565,566 - 621,622 - 622,623 - 626,-,631 - 635,636 - 643,644 - 666,Sri Lanka,Spin
234,Qais Ahmad,-,-,-,-,-,-,-,-,-,411 - 416,421 - 543,544 - 616,-,-,-,621 - 652,-,653 - 666,-,-,-,-,-,-,-,-,-,Afghanistan,Spin
235,R Ashwin,411 - 464,465 - 562,563 - 626,-,631 - 653,-,654 - 656,661 - 666,-,411 - 531,532 - 635,636 - 642,-,643 - 646,-,651 - 654,655 - 662,663 - 666,411 - 523,524 - 541,-,-,542 - 556,-,-,561 - 652,653 - 666,India,Spin
236,R Klein,-,-,-,-,-,-,-,-,-,411 - 421,422 - 535,536 - 611,-,612 - 643,-,644 - 661,-,662 - 666,-,-,-,-,-,-,-,-,-,Netherlands,Pace
237,R Ngarava,411 - 545,546 - 621,622 - 624,-,625 - 645,-,646 - 651,652 - 662,663 - 666,411 - 515,516 - 622,623 - 623,-,624 - 644,-,-,645 - 656,661 - 666,411 - 463,464 - 552,553 - 565,566 - 566,611 - 632,-,633 - 641,642 - 656,661 - 666,Zimbabwe,Pace
238,R Powell,-,-,-,-,-,-,-,-,-,411 - 443,444 - 623,-,-,624 - 636,-,641 - 653,654 - 666,-,-,-,-,-,-,-,-,-,-,West Indies,Pace
239,R Rampaul,411 - 513,514 - 614,615 - 634,635 - 636,641 - 656,-,661 - 662,663 - 664,665 - 666,411 - 416,421 - 544,545 - 554,-,555 - 625,-,626 - 635,636 - 656,661 - 666,-,411 - 531,532 - 563,-,564 - 621,-,-,622 - 666,-,West Indies,Pace
240,R Ravindra,-,-,-,-,-,-,-,-,-,411 - 561,562 - 645,646 - 652,653 - 653,654 - 656,-,661 - 661,662 - 662,663 - 666,-,-,-,-,-,-,-,-,-,New Zealand,Spin
241,R Shepherd,411 - 453,454 - 551,552 - 562,563 - 564,565 - 645,-,646 - 656,661 - 662,663 - 666,411 - 443,444 - 553,554 - 565,566 - 566,611 - 632,-,633 - 644,645 - 661,662 - 666,-,411 - 515,516 - 526,531 - 531,532 - 553,-,554 - 616,621 - 652,653 - 666,West Indies,Pace
242,R Trumpelmann,411 - 546,551 - 622,623 - 626,631 - 631,632 - 645,-,646 - 646,651 - 662,663 - 666,411 - 512,513 - 624,625 - 642,-,643 - 655,-,656 - 661,662 - 664,665 - 666,411 - 446,451 - 531,532 - 553,-,554 - 622,-,623 - 641,642 - 651,652 - 666,Namibia,Pace
243,RA Jadeja,411 - 612,613 - 633,-,-,634 - 654,-,655 - 662,-,663 - 666,411 - 466,511 - 623,624 - 633,-,634 - 646,-,651 - 655,656 - 661,662 - 666,411 - 666,-,-,-,-,-,-,-,-,India,Spin
244,RD Berrington,-,-,-,-,-,-,-,-,-,-,411 - 554,555 - 621,-,622 - 636,-,641 - 651,652 - 662,663 - 666,-,-,-,-,-,-,-,-,-,Scotland,Pace
245,RD Chahar,-,-,-,-,-,-,-,-,-,411 - 452,453 - 613,614 - 623,-,624 - 635,-,636 - 644,645 - 656,661 - 666,-,-,-,-,-,-,-,-,-,India,Spin
246,RE van der Merwe,411 - 552,553 - 615,616 - 631,-,632 - 666,-,-,-,-,411 - 451,452 - 623,624 - 634,-,635 - 643,-,644 - 654,655 - 662,663 - 666,411 - 623,624 - 653,-,654 - 666,-,-,-,-,-,Netherlands,Spin
247,RJ Gleeson,411 - 515,516 - 612,613 - 616,-,621 - 651,-,652 - 655,-,656 - 666,411 - 443,444 - 561,562 - 565,-,566 - 635,-,636 - 651,652 - 662,663 - 666,411 - 433,434 - 544,545 - 615,-,-,-,616 - 625,-,626 - 666,England,Pace
248,RJW Topley,411 - 524,525 - 613,614 - 621,622 - 622,623 - 644,-,645 - 645,646 - 661,662 - 666,411 - 413,414 - 544,545 - 611,612 - 613,614 - 643,-,644 - 651,652 - 664,665 - 666,411 - 436,441 - 546,551 - 614,-,615 - 633,-,634 - 644,645 - 655,656 - 666,England,Pace
249,RL Chase,411 - 511,512 - 566,-,-,611 - 653,-,-,654 - 666,-,411 - 512,513 - 633,634 - 636,-,641 - 646,-,651 - 651,652 - 654,655 - 666,411 - 623,-,-,-,624 - 666,-,-,-,-,West Indies,Spin
250,RP Burl,-,-,-,-,-,-,-,-,-,411 - 455,456 - 626,631 - 633,-,634 - 646,-,651 - 652,653 - 656,661 - 666,411 - 453,454 - 623,624 - 636,-,-,-,641 - 666,-,-,Zimbabwe,Spin
251,RP Meredith,411 - 516,521 - 553,554 - 556,-,561 - 636,-,641 - 646,651 - 656,661 - 666,411 - 464,465 - 561,562 - 564,-,565 - 634,-,635 - 642,643 - 655,656 - 666,-,411 - 436,-,-,-,-,441 - 636,-,641 - 666,Australia,Pace
252,RR Hendricks,-,-,-,-,-,-,-,-,-,411 - 421,422 - 453,454 - 525,-,-,-,526 - 666,-,-,-,-,-,-,-,-,-,-,-,South Africa,Pace
253,RTM Mendis,-,411 - 466,511 - 536,-,541 - 566,-,-,611 - 636,641 - 666,411 - 556,561 - 662,-,-,663 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka,Spin
254,Rashid Khan,411 - 452,453 - 626,631 - 634,-,635 - 646,-,651 - 654,655 - 662,663 - 666,411 - 466,511 - 625,626 - 641,-,642 - 646,-,651 - 653,654 - 661,662 - 666,411 - 413,414 - 513,514 - 531,-,532 - 554,-,555 - 612,613 - 623,624 - 666,Afghanistan,Spin
255,Ravi Bishnoi,411 - 552,553 - 626,631 - 642,-,-,-,643 - 654,-,655 - 666,411 - 524,525 - 614,615 - 623,-,624 - 633,-,634 - 641,642 - 656,661 - 666,411 - 431,432 - 546,551 - 554,-,555 - 623,-,-,624 - 653,654 - 666,India,Spin
256,Rohan Mustafa,411 - 452,453 - 634,-,-,-,-,-,-,635 - 666,411 - 455,456 - 611,612 - 621,622 - 624,625 - 646,-,651 - 654,655 - 655,656 - 666,411 - 441,442 - 536,541 - 564,565 - 611,612 - 626,-,631 - 635,636 - 645,646 - 666,United Arab Emirates,Spin
257,Rubel Hossain,-,411 - 521,522 - 554,-,555 - 632,-,633 - 666,-,-,-,411 - 536,-,-,541 - 566,-,611 - 666,-,-,-,-,-,-,-,-,-,-,-,Bangladesh,Pace
258,S Mahmood,411 - 523,524 - 624,625 - 633,-,634 - 661,-,662 - 666,-,-,411 - 433,434 - 535,536 - 563,-,564 - 615,-,-,616 - 654,655 - 666,411 - 421,422 - 516,521 - 533,-,534 - 556,-,561 - 632,633 - 653,654 - 666,England,Pace
259,S Sandeep Warrier,411 - 653,654 - 666,-,-,-,-,-,-,-,411 - 512,513 - 551,552 - 614,-,615 - 642,643 - 654,-,655 - 666,-,-,-,-,-,-,-,-,-,-,India,Pace
260,SA Abbott,411 - 523,524 - 636,641 - 653,-,-,-,-,654 - 666,-,411 - 512,513 - 615,-,-,616 - 654,-,-,655 - 666,-,411 - 514,515 - 536,-,-,541 - 561,-,562 - 623,624 - 644,645 - 666,Australia,Pace
261,SC Getkate,-,411 - 536,541 - 555,-,556 - 633,-,-,634 - 651,652 - 666,411 - 511,512 - 616,621 - 625,626 - 626,631 - 642,-,643 - 645,646 - 655,656 - 666,411 - 433,434 - 565,-,-,566 - 635,-,636 - 666,-,-,Ireland,Pace
262,SC Kuggeleijn,-,411 - 566,-,-,611 - 636,-,-,641 - 666,-,411 - 433,434 - 636,-,-,-,-,-,641 - 656,661 - 666,411 - 463,464 - 612,-,-,613 - 641,-,-,-,642 - 666,New Zealand,Pace
263,SC Williams,-,411 - 521,-,-,522 - 666,-,-,-,-,411 - 453,454 - 624,625 - 641,642 - 642,643 - 652,-,653 - 653,654 - 656,661 - 666,-,-,-,-,-,-,-,-,-,Zimbabwe,Spin
264,SM Curran,411 - 446,451 - 611,612 - 623,-,624 - 645,-,646 - 646,651 - 656,661 - 666,411 - 436,441 - 565,566 - 624,-,625 - 643,-,644 - 645,646 - 661,662 - 666,411 - 435,436 - 541,542 - 613,-,614 - 624,-,625 - 636,641 - 655,656 - 666,England,Pace
265,SM Sharif,411 - 532,533 - 615,616 - 623,-,624 - 643,-,644 - 644,645 - 662,663 - 666,411 - 453,454 - 614,615 - 624,-,625 - 641,-,642 - 652,653 - 662,663 - 666,-,411 - 544,545 - 565,-,566 - 624,-,625 - 644,645 - 655,656 - 666,Scotland,Pace
266,SM Sharma,-,411 - 555,556 - 666,-,-,-,-,-,-,411 - 521,522 - 626,631 - 654,-,-,-,655 - 666,-,-,-,-,-,-,-,-,-,-,-,United Arab Emirates,Pace
267,SN Thakur,411 - 435,436 - 533,534 - 555,-,556 - 636,-,641 - 653,654 - 666,-,411 - 511,512 - 625,626 - 631,-,632 - 645,-,646 - 654,655 - 663,664 - 666,411 - 451,452 - 532,533 - 544,545 - 546,551 - 614,-,615 - 631,632 - 644,645 - 666,India,Pace
268,SS Cottrell,411 - 536,541 - 566,611 - 616,621 - 621,622 - 643,-,644 - 645,646 - 662,663 - 666,411 - 416,421 - 531,532 - 555,-,556 - 646,-,651 - 654,655 - 662,663 - 666,411 - 456,461 - 555,556 - 612,613 - 613,614 - 624,-,625 - 632,633 - 654,655 - 666,West Indies,Pace
269,SS Iyer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,411 - 623,-,624 - 666,-,-,-,-,-,-,India,Spin
270,SSB Magala,411 - 434,-,-,-,435 - 535,-,536 - 565,566 - 666,-,411 - 443,444 - 535,536 - 554,-,555 - 613,-,614 - 624,625 - 664,665 - 666,411 - 465,466 - 565,566 - 621,-,622 - 635,-,636 - 642,643 - 654,655 - 666,South Africa,Pace
271,Sabbir Rahman,-,-,-,-,-,-,-,-,-,-,411 - 636,-,-,641 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh,Spin
272,Sabir Ali,411 - 514,515 - 554,-,-,555 - 622,-,623 - 626,631 - 662,663 - 666,411 - 521,522 - 561,-,-,562 - 654,-,-,-,655 - 666,-,-,-,-,-,-,-,-,-,United Arab Emirates,Pace
273,Saif Hassan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Bangladesh,Spin
274,Shadab Khan,411 - 522,523 - 566,611 - 636,-,-,-,641 - 653,-,654 - 666,411 - 513,514 - 624,625 - 635,-,636 - 646,-,651 - 654,655 - 662,663 - 666,411 - 523,-,-,-,-,-,524 - 614,-,615 - 666,Pakistan,Spin
275,Shaheen Shah Afridi,411 - 543,544 - 616,621 - 624,-,625 - 645,-,646 - 652,653 - 663,664 - 666,411 - 516,521 - 622,623 - 626,-,631 - 642,-,643 - 654,655 - 664,665 - 666,411 - 455,456 - 551,552 - 563,-,564 - 623,-,624 - 633,634 - 653,654 - 666,Pakistan,Pace
276,Shahnawaz Dhani,411 - 526,531 - 564,565 - 612,613 - 613,614 - 645,-,646 - 654,655 - 664,665 - 666,411 - 446,451 - 561,562 - 612,-,613 - 643,-,644 - 646,651 - 656,661 - 666,411 - 445,446 - 551,552 - 613,-,614 - 651,-,652 - 656,661 - 663,664 - 666,Pakistan,Pace
277,Shakib Al Hasan,411 - 523,524 - 625,626 - 633,-,634 - 644,-,645 - 655,656 - 662,663 - 666,411 - 463,464 - 625,626 - 641,-,642 - 645,-,646 - 654,655 - 661,662 - 666,411 - 436,441 - 551,552 - 622,-,623 - 644,-,645 - 653,654 - 666,-,Bangladesh,Spin
278,Shamim Hossain,-,-,-,-,-,-,-,-,-,411 - 446,451 - 635,636 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh,Spin
279,Sharafuddin Ashraf,411 - 522,523 - 553,554 - 566,-,611 - 636,-,641 - 653,-,654 - 666,411 - 546,551 - 643,644 - 652,-,653 - 661,-,-,662 - 664,665 - 666,-,-,-,-,-,-,-,-,-,Afghanistan,Spin
280,Shariz Ahmad,-,-,-,-,-,-,-,-,-,-,411 - 546,551 - 566,611 - 613,614 - 636,-,641 - 653,-,654 - 666,-,-,-,-,-,-,-,-,-,Netherlands,Spin
281,Shoaib Malik,411 - 552,553 - 616,621 - 643,-,644 - 666,-,-,-,-,411 - 416,421 - 562,563 - 634,-,635 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan,Spin
282,Shohidul Islam,411 - 453,454 - 562,563 - 634,-,635 - 666,-,-,-,-,411 - 451,452 - 535,536 - 552,-,-,-,553 - 622,623 - 653,654 - 666,411 - 514,515 - 623,624 - 644,-,-,-,-,645 - 666,-,Bangladesh,Pace
283,Shoriful Islam,411 - 463,464 - 556,561 - 565,566 - 611,612 - 645,-,646 - 654,655 - 663,664 - 666,411 - 513,514 - 616,621 - 625,626 - 626,631 - 645,-,646 - 652,653 - 661,662 - 666,411 - 444,445 - 545,546 - 563,564 - 564,565 - 622,-,623 - 635,636 - 646,651 - 666,Bangladesh,Pace
284,Sikandar Raza,411 - 464,465 - 611,612 - 615,-,616 - 654,-,655 - 666,-,-,411 - 461,462 - 623,624 - 641,642 - 642,643 - 645,-,646 - 652,653 - 656,661 - 666,411 - 453,454 - 636,-,-,-,-,-,-,641 - 666,Zimbabwe,Spin
285,Simi Singh,411 - 442,443 - 566,611 - 632,-,633 - 662,-,-,-,663 - 666,411 - 445,446 - 622,623 - 634,-,635 - 646,-,651 - 655,656 - 663,664 - 666,411 - 421,422 - 543,544 - 614,-,615 - 635,-,636 - 645,646 - 666,-,Ireland,Spin
286,Soumya Sarkar,-,-,-,-,-,-,-,-,-,411 - 431,432 - 615,616 - 622,-,623 - 641,642 - 642,643 - 646,651 - 662,663 - 666,411 - 514,515 - 536,541 - 623,-,-,-,-,624 - 644,645 - 666,Bangladesh,Pace
287,Sultan Ahmed (2),411 - 452,453 - 561,562 - 615,-,616 - 666,-,-,-,-,411 - 616,621 - 652,-,-,653 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,United Arab Emirates,Spin
288,T Lungameni,411 - 553,554 - 616,-,-,621 - 666,-,-,-,-,411 - 443,444 - 611,612 - 624,-,625 - 641,-,-,642 - 666,-,411 - 421,422 - 512,513 - 536,-,541 - 615,-,616 - 631,632 - 666,-,Namibia,Pace
289,T Natarajan,-,-,-,-,-,-,-,-,-,411 - 451,452 - 565,-,-,566 - 653,-,654 - 666,-,-,411 - 433,434 - 521,522 - 552,-,553 - 622,-,-,623 - 635,636 - 666,India,Pace
290,T Shamsi,-,-,-,-,-,-,-,-,-,411 - 464,465 - 621,622 - 631,-,632 - 641,-,642 - 645,646 - 655,656 - 666,411 - 444,445 - 546,551 - 611,-,612 - 632,-,633 - 653,654 - 656,661 - 666,South Africa,Spin
291,T Stubbs,-,-,-,-,-,-,-,-,-,-,411 - 524,525 - 615,-,-,-,616 - 642,643 - 666,-,-,-,-,-,-,-,-,-,-,South Africa,Spin
292,T van der Gugten,411 - 453,454 - 562,-,-,563 - 666,-,-,-,-,411 - 461,462 - 556,561 - 626,631 - 636,641 - 656,-,661 - 666,-,-,-,411 - 533,534 - 563,564 - 566,611 - 625,-,626 - 636,641 - 655,656 - 666,Netherlands,Pace
293,TA Boult,411 - 561,562 - 623,624 - 626,631 - 631,632 - 653,-,654 - 655,656 - 663,664 - 666,411 - 465,466 - 615,616 - 625,-,626 - 645,-,646 - 646,651 - 655,656 - 666,411 - 464,465 - 612,613 - 623,624 - 624,625 - 636,-,641 - 643,644 - 656,661 - 666,New Zealand,Pace
294,TD Astle,411 - 452,-,453 - 525,-,526 - 561,-,-,-,562 - 666,411 - 443,444 - 544,545 - 566,-,611 - 623,-,624 - 645,646 - 653,654 - 666,-,-,-,-,-,-,-,-,-,New Zealand,Spin
295,TG Southee,411 - 524,525 - 613,614 - 616,621 - 621,622 - 644,-,645 - 646,651 - 663,664 - 666,411 - 513,514 - 564,565 - 613,614 - 614,615 - 633,-,634 - 643,644 - 654,655 - 666,411 - 435,436 - 552,553 - 566,-,611 - 622,-,623 - 635,636 - 653,654 - 666,New Zealand,Pace
296,TJG Pringle,411 - 552,553 - 622,623 - 631,-,632 - 633,-,634 - 645,646 - 654,655 - 666,411 - 456,461 - 631,632 - 645,-,646 - 652,-,653 - 655,656 - 663,664 - 666,411 - 666,-,-,-,-,-,-,-,-,Netherlands,Spin
297,TK Curran,-,411 - 621,622 - 632,-,633 - 666,-,-,-,-,411 - 451,452 - 552,553 - 561,-,562 - 631,-,632 - 661,-,662 - 666,411 - 653,654 - 656,661 - 661,-,662 - 662,-,663 - 664,-,665 - 666,England,Pace
298,TL Chatara,411 - 531,532 - 622,623 - 623,624 - 624,625 - 644,-,645 - 645,646 - 662,663 - 666,411 - 454,455 - 623,624 - 625,-,626 - 642,-,643 - 644,645 - 651,652 - 666,411 - 465,466 - 612,613 - 623,624 - 624,625 - 642,-,643 - 652,653 - 663,664 - 666,Zimbabwe,Pace
299,TL Chivanga,411 - 434,435 - 535,536 - 544,-,545 - 614,-,615 - 636,641 - 666,-,411 - 451,452 - 535,-,-,-,-,536 - 561,562 - 666,-,411 - 666,-,-,-,-,-,-,-,-,Zimbabwe,Pace
300,TLW Cooper,-,-,-,-,-,-,-,-,-,411 - 446,451 - 636,641 - 653,-,654 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,Netherlands,Spin
301,TM Head,-,411 - 632,-,-,-,-,633 - 666,-,-,411 - 516,521 - 642,-,-,643 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,Australia,Spin
302,TS Mills,411 - 443,444 - 532,-,-,533 - 563,-,564 - 652,653 - 666,-,411 - 463,464 - 566,611 - 621,-,622 - 642,-,643 - 652,653 - 664,665 - 666,411 - 411,412 - 463,464 - 524,-,525 - 552,-,553 - 565,566 - 622,623 - 666,England,Pace
303,Taskin Ahmed,411 - 544,545 - 616,621 - 626,631 - 631,632 - 651,-,652 - 654,655 - 664,665 - 666,411 - 461,462 - 564,565 - 621,622 - 622,623 - 643,-,644 - 646,651 - 661,662 - 666,411 - 443,444 - 542,543 - 555,556 - 561,562 - 631,-,632 - 644,645 - 661,662 - 666,Bangladesh,Pace
304,UT Yadav,411 - 523,-,-,-,524 - 653,-,-,-,654 - 666,411 - 421,422 - 526,-,-,531 - 562,-,563 - 634,-,635 - 666,-,-,-,-,-,-,-,-,-,India,Pace
305,Umran Malik,-,411 - 436,-,-,441 - 536,-,541 - 566,611 - 666,-,411 - 436,441 - 526,531 - 536,-,541 - 564,-,565 - 623,624 - 654,655 - 666,-,411 - 435,436 - 464,-,465 - 545,-,546 - 561,562 - 654,655 - 666,India,Pace
306,Usman Qadir,-,-,-,-,-,-,-,-,-,411 - 463,464 - 564,565 - 621,622 - 622,623 - 642,-,643 - 653,654 - 656,661 - 666,-,-,-,-,-,-,-,-,-,Pakistan,Spin
307,VM Nyauchi,411 - 524,525 - 553,-,554 - 562,563 - 641,-,-,642 - 651,652 - 666,-,411 - 553,554 - 623,-,624 - 666,-,-,-,-,-,411 - 562,563 - 616,621 - 634,635 - 652,-,-,-,653 - 666,Zimbabwe,Pace
308,VR Iyer,-,-,-,-,-,-,411 - 666,-,-,411 - 464,465 - 613,614 - 632,-,633 - 643,-,644 - 645,-,646 - 666,-,411 - 461,-,-,462 - 615,-,616 - 642,643 - 666,-,India,Pace
309,W Madhevere,411 - 512,513 - 613,614 - 635,-,636 - 644,-,645 - 653,654 - 655,656 - 666,411 - 455,456 - 623,624 - 631,632 - 632,633 - 644,-,645 - 652,653 - 663,664 - 666,411 - 414,415 - 542,-,-,-,-,-,543 - 611,612 - 666,Zimbabwe,Spin
310,WD Parnell,411 - 542,543 - 612,613 - 615,616 - 616,621 - 643,-,644 - 651,652 - 661,662 - 666,411 - 466,511 - 614,615 - 622,-,623 - 636,-,641 - 646,651 - 654,655 - 666,411 - 515,516 - 613,614 - 616,-,621 - 646,-,651 - 663,664 - 666,-,South Africa,Pace
311,WP Masakadza,411 - 552,553 - 633,634 - 634,-,635 - 646,-,651 - 654,655 - 664,665 - 666,411 - 456,461 - 632,633 - 641,642 - 642,643 - 651,-,652 - 655,656 - 662,663 - 666,-,411 - 516,521 - 526,-,531 - 546,-,551 - 566,611 - 616,621 - 666,Zimbabwe,Spin
